0    ,age,two_year_recid,c_charge_degree,race            ,sex   ,priors_count,length_of_stay,score
3759 ,31 ,0             ,F              ,African-American,Female,14          ,1             ,0
6528 ,29 ,1             ,F              ,African-American,Male  ,6           ,0             ,1
1482 ,23 ,0             ,M              ,African-American,Female,6           ,17            ,1
10749,29 ,0             ,F              ,African-American,Female,0           ,0             ,1
6577 ,36 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
10292,21 ,0             ,F              ,African-American,Male  ,0           ,1             ,0
1191 ,22 ,1             ,F              ,Other           ,Male  ,0           ,2             ,1
1363 ,45 ,1             ,M              ,Other           ,Male  ,0           ,3             ,1
8761 ,32 ,1             ,M              ,Other           ,Male  ,4           ,1             ,1
2687 ,54 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
7317 ,27 ,0             ,F              ,African-American,Male  ,2           ,83            ,1
4445 ,22 ,0             ,F              ,African-American,Female,1           ,13            ,1
7112 ,55 ,1             ,M              ,African-American,Male  ,10          ,4             ,1
10021,24 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
2166 ,30 ,1             ,F              ,African-American,Female,8           ,1             ,0
8668 ,25 ,0             ,M              ,Other           ,Female,0           ,1             ,1
6229 ,38 ,1             ,M              ,Other           ,Male  ,5           ,0             ,1
9513 ,43 ,0             ,F              ,African-American,Male  ,2           ,0             ,1
7027 ,49 ,1             ,M              ,African-American,Male  ,0           ,4             ,1
2863 ,21 ,1             ,F              ,Other           ,Male  ,3           ,0             ,1
1259 ,26 ,1             ,F              ,Other           ,Male  ,5           ,35            ,1
7818 ,41 ,0             ,F              ,Other           ,Male  ,1           ,62            ,1
10383,27 ,1             ,F              ,African-American,Male  ,10          ,1             ,0
8920 ,35 ,1             ,F              ,African-American,Female,7           ,2             ,1
243  ,39 ,0             ,M              ,Other           ,Male  ,1           ,3             ,1
10194,23 ,1             ,F              ,African-American,Male  ,5           ,1             ,0
2595 ,47 ,0             ,M              ,Other           ,Female,0           ,1             ,1
1310 ,22 ,0             ,F              ,Other           ,Female,1           ,1             ,1
414  ,25 ,0             ,F              ,Other           ,Female,0           ,0             ,1
6084 ,27 ,0             ,F              ,African-American,Male  ,0           ,1             ,1
9325 ,50 ,1             ,F              ,Other           ,Male  ,3           ,33            ,0
4320 ,34 ,0             ,F              ,African-American,Male  ,22          ,1             ,0
8041 ,27 ,1             ,F              ,Other           ,Male  ,6           ,1             ,1
6660 ,39 ,1             ,F              ,Other           ,Male  ,2           ,1             ,1
7197 ,37 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
6977 ,45 ,1             ,F              ,Other           ,Female,6           ,1             ,1
2959 ,26 ,0             ,M              ,African-American,Male  ,2           ,0             ,1
6693 ,25 ,0             ,M              ,Other           ,Male  ,0           ,3             ,1
3627 ,44 ,0             ,M              ,Other           ,Male  ,16          ,81            ,1
3763 ,26 ,1             ,F              ,African-American,Male  ,20          ,29            ,0
1024 ,27 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
8435 ,24 ,0             ,F              ,African-American,Male  ,1           ,0             ,1
4861 ,34 ,1             ,F              ,African-American,Male  ,6           ,13            ,0
7481 ,21 ,1             ,F              ,Other           ,Male  ,0           ,1             ,0
7495 ,49 ,0             ,M              ,Other           ,Male  ,4           ,4             ,0
569  ,24 ,0             ,F              ,African-American,Female,0           ,1             ,1
9401 ,24 ,0             ,M              ,Other           ,Male  ,1           ,1             ,1
5686 ,47 ,0             ,M              ,Other           ,Female,0           ,0             ,1
1    ,69 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
2065 ,34 ,0             ,M              ,Other           ,Male  ,2           ,1             ,1
4530 ,25 ,0             ,F              ,Other           ,Male  ,2           ,-1            ,1
10400,23 ,0             ,M              ,Other           ,Male  ,3           ,1             ,1
4471 ,27 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
2042 ,58 ,0             ,F              ,African-American,Female,4           ,1             ,1
5020 ,41 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
8755 ,36 ,1             ,M              ,Other           ,Male  ,0           ,1             ,1
5722 ,46 ,0             ,F              ,African-American,Male  ,9           ,5             ,1
2851 ,39 ,0             ,F              ,Other           ,Male  ,6           ,26            ,1
8954 ,46 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
366  ,22 ,1             ,M              ,Other           ,Male  ,1           ,5             ,0
5633 ,37 ,0             ,M              ,African-American,Male  ,0           ,0             ,1
905  ,32 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
8320 ,25 ,1             ,F              ,Other           ,Male  ,1           ,68            ,1
1435 ,25 ,1             ,M              ,African-American,Male  ,2           ,0             ,1
5774 ,57 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
4881 ,31 ,0             ,F              ,African-American,Male  ,0           ,2             ,1
818  ,25 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
4476 ,60 ,1             ,F              ,African-American,Male  ,19          ,39            ,0
745  ,30 ,0             ,M              ,Other           ,Female,0           ,1             ,1
10490,27 ,1             ,F              ,Other           ,Male  ,0           ,0             ,1
3847 ,22 ,1             ,F              ,African-American,Male  ,2           ,1             ,1
6488 ,50 ,0             ,M              ,Other           ,Female,0           ,1             ,1
2759 ,32 ,0             ,M              ,Other           ,Male  ,6           ,0             ,1
8111 ,27 ,1             ,F              ,African-American,Male  ,4           ,34            ,0
545  ,20 ,0             ,F              ,Other           ,Female,1           ,2             ,1
4004 ,27 ,0             ,F              ,African-American,Female,1           ,44            ,1
8914 ,20 ,1             ,F              ,African-American,Male  ,2           ,16            ,1
3324 ,63 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
8028 ,20 ,1             ,F              ,Other           ,Female,0           ,0             ,0
7835 ,40 ,1             ,M              ,African-American,Male  ,11          ,0             ,1
8845 ,21 ,0             ,M              ,Other           ,Male  ,0           ,4             ,1
5621 ,53 ,0             ,F              ,Other           ,Male  ,2           ,40            ,1
7245 ,25 ,1             ,M              ,African-American,Male  ,5           ,3             ,0
4948 ,29 ,0             ,F              ,Other           ,Male  ,1           ,14            ,1
6851 ,27 ,1             ,F              ,Other           ,Male  ,7           ,0             ,0
7606 ,36 ,1             ,M              ,Other           ,Male  ,11          ,2             ,1
4162 ,25 ,1             ,F              ,African-American,Male  ,13          ,36            ,0
8456 ,37 ,0             ,M              ,African-American,Male  ,3           ,80            ,1
7912 ,21 ,1             ,F              ,Other           ,Male  ,0           ,28            ,1
10351,25 ,1             ,M              ,African-American,Female,0           ,1             ,1
3570 ,40 ,1             ,M              ,Other           ,Male  ,0           ,0             ,1
105  ,39 ,0             ,M              ,African-American,Male  ,1           ,4             ,1
336  ,33 ,1             ,F              ,Other           ,Male  ,4           ,2             ,1
7008 ,45 ,1             ,M              ,African-American,Male  ,12          ,3             ,0
8031 ,44 ,1             ,M              ,African-American,Male  ,8           ,9             ,0
3341 ,23 ,0             ,F              ,African-American,Male  ,2           ,237           ,1
2875 ,33 ,1             ,F              ,African-American,Male  ,10          ,2             ,0
7722 ,23 ,1             ,F              ,African-American,Female,3           ,5             ,0
5658 ,21 ,1             ,F              ,African-American,Male  ,0           ,0             ,1
478  ,29 ,0             ,F              ,African-American,Male  ,7           ,1             ,0
8511 ,24 ,0             ,F              ,Other           ,Male  ,0           ,2             ,1
4833 ,25 ,0             ,F              ,Other           ,Male  ,2           ,2             ,1
5599 ,28 ,0             ,M              ,Other           ,Female,0           ,0             ,1
8517 ,23 ,1             ,M              ,African-American,Male  ,0           ,0             ,1
1328 ,26 ,0             ,M              ,African-American,Female,1           ,1             ,1
8798 ,38 ,0             ,F              ,Other           ,Male  ,1           ,4             ,1
7962 ,41 ,0             ,F              ,African-American,Female,0           ,0             ,1
2259 ,36 ,0             ,F              ,African-American,Male  ,5           ,11            ,1
10071,36 ,0             ,M              ,Other           ,Female,1           ,1             ,1
7023 ,25 ,0             ,F              ,Other           ,Male  ,2           ,9             ,1
5825 ,24 ,1             ,F              ,African-American,Male  ,11          ,51            ,0
7740 ,38 ,0             ,M              ,African-American,Male  ,8           ,15            ,1
10167,24 ,1             ,F              ,African-American,Male  ,2           ,0             ,1
10043,49 ,0             ,F              ,Other           ,Female,0           ,-1            ,1
7101 ,24 ,0             ,F              ,Other           ,Female,0           ,0             ,1
3516 ,28 ,1             ,F              ,Other           ,Male  ,1           ,1             ,1
2048 ,21 ,1             ,F              ,African-American,Male  ,2           ,140           ,0
4567 ,47 ,0             ,M              ,African-American,Female,0           ,0             ,1
8299 ,27 ,0             ,F              ,African-American,Male  ,2           ,3             ,1
8776 ,25 ,1             ,F              ,Other           ,Male  ,7           ,43            ,0
2285 ,29 ,0             ,F              ,African-American,Male  ,7           ,1             ,1
2446 ,23 ,1             ,F              ,Other           ,Male  ,0           ,7             ,1
7735 ,51 ,0             ,M              ,Other           ,Female,1           ,1             ,1
8881 ,40 ,1             ,F              ,African-American,Male  ,0           ,4             ,0
7424 ,36 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
3354 ,28 ,1             ,F              ,African-American,Male  ,1           ,0             ,1
5569 ,59 ,0             ,M              ,Other           ,Male  ,1           ,0             ,1
2183 ,41 ,0             ,M              ,African-American,Male  ,0           ,0             ,1
71   ,29 ,1             ,F              ,Other           ,Male  ,1           ,0             ,1
2020 ,28 ,0             ,M              ,Other           ,Male  ,11          ,0             ,1
4993 ,52 ,0             ,F              ,Other           ,Male  ,3           ,13            ,1
6809 ,29 ,0             ,F              ,African-American,Male  ,0           ,1             ,1
4444 ,25 ,0             ,F              ,Other           ,Female,2           ,181           ,0
5057 ,49 ,0             ,F              ,African-American,Female,1           ,0             ,1
10343,39 ,0             ,F              ,Other           ,Female,0           ,1             ,1
4831 ,33 ,0             ,M              ,Other           ,Male  ,10          ,1             ,1
9734 ,24 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
4998 ,33 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
4721 ,23 ,1             ,F              ,African-American,Male  ,2           ,22            ,1
1770 ,23 ,1             ,F              ,African-American,Male  ,2           ,1             ,1
3544 ,24 ,1             ,F              ,African-American,Male  ,1           ,6             ,1
6697 ,39 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
9955 ,39 ,0             ,F              ,African-American,Male  ,0           ,18            ,1
3168 ,25 ,1             ,F              ,African-American,Male  ,4           ,86            ,0
7105 ,27 ,1             ,F              ,African-American,Male  ,15          ,30            ,0
6264 ,29 ,0             ,F              ,African-American,Female,0           ,1             ,0
8118 ,34 ,0             ,M              ,African-American,Male  ,4           ,0             ,1
4157 ,22 ,1             ,F              ,African-American,Male  ,0           ,0             ,1
6793 ,38 ,0             ,M              ,Other           ,Female,2           ,0             ,1
435  ,34 ,0             ,M              ,African-American,Male  ,5           ,0             ,1
8016 ,29 ,1             ,F              ,African-American,Male  ,6           ,22            ,1
7369 ,34 ,1             ,F              ,African-American,Male  ,4           ,0             ,1
3603 ,30 ,1             ,F              ,African-American,Male  ,6           ,1             ,1
1783 ,21 ,0             ,F              ,Other           ,Male  ,0           ,4             ,1
7891 ,51 ,1             ,M              ,African-American,Male  ,8           ,3             ,1
8197 ,47 ,1             ,F              ,Other           ,Male  ,2           ,1             ,1
6641 ,20 ,1             ,F              ,African-American,Male  ,2           ,129           ,0
2700 ,22 ,0             ,F              ,African-American,Male  ,0           ,1             ,1
5052 ,44 ,0             ,F              ,Other           ,Male  ,0           ,11            ,1
3438 ,26 ,1             ,M              ,Other           ,Male  ,0           ,5             ,1
1186 ,24 ,1             ,M              ,Other           ,Male  ,1           ,1             ,1
9686 ,24 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
3035 ,25 ,0             ,F              ,Other           ,Male  ,4           ,183           ,1
2372 ,46 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
602  ,36 ,1             ,F              ,African-American,Male  ,14          ,0             ,1
6587 ,21 ,1             ,F              ,African-American,Male  ,1           ,456           ,0
10239,36 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
2441 ,25 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
4683 ,29 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
8365 ,24 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
224  ,32 ,1             ,F              ,African-American,Male  ,11          ,1             ,1
3475 ,43 ,0             ,F              ,Other           ,Male  ,5           ,0             ,1
7219 ,32 ,0             ,F              ,African-American,Male  ,3           ,0             ,1
5173 ,27 ,1             ,M              ,African-American,Female,0           ,3             ,1
4754 ,47 ,0             ,F              ,African-American,Male  ,1           ,1             ,1
6886 ,51 ,1             ,F              ,African-American,Male  ,17          ,0             ,0
6759 ,30 ,1             ,F              ,African-American,Male  ,12          ,9             ,0
1847 ,42 ,0             ,M              ,African-American,Male  ,0           ,-1            ,1
10072,41 ,1             ,F              ,Other           ,Male  ,4           ,0             ,1
5535 ,21 ,1             ,F              ,Other           ,Male  ,1           ,48            ,1
8578 ,24 ,1             ,F              ,Other           ,Male  ,5           ,5             ,1
2090 ,23 ,0             ,M              ,African-American,Female,0           ,2             ,1
6430 ,50 ,0             ,M              ,African-American,Male  ,0           ,0             ,1
4931 ,50 ,1             ,F              ,Other           ,Male  ,0           ,35            ,1
10226,29 ,1             ,F              ,African-American,Male  ,9           ,1             ,1
406  ,30 ,1             ,F              ,African-American,Male  ,11          ,1             ,1
3981 ,43 ,1             ,M              ,African-American,Male  ,4           ,0             ,1
6055 ,23 ,1             ,F              ,African-American,Female,0           ,0             ,1
1060 ,44 ,0             ,F              ,African-American,Male  ,1           ,1             ,1
9822 ,28 ,1             ,M              ,Other           ,Male  ,6           ,1             ,1
6778 ,22 ,0             ,M              ,African-American,Male  ,1           ,1             ,1
6110 ,23 ,0             ,F              ,Other           ,Female,0           ,0             ,1
7711 ,20 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
5596 ,25 ,0             ,F              ,Other           ,Male  ,0           ,2             ,1
10931,28 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
7166 ,33 ,0             ,F              ,African-American,Female,1           ,0             ,1
4078 ,47 ,1             ,M              ,Other           ,Male  ,0           ,3             ,1
6546 ,28 ,0             ,F              ,Other           ,Male  ,2           ,3             ,0
2586 ,40 ,0             ,F              ,Other           ,Male  ,1           ,21            ,1
10599,30 ,1             ,M              ,African-American,Female,0           ,0             ,1
334  ,27 ,1             ,F              ,African-American,Male  ,11          ,223           ,0
6303 ,40 ,0             ,M              ,Other           ,Female,2           ,3             ,1
10553,28 ,1             ,F              ,African-American,Male  ,13          ,1             ,0
10761,24 ,1             ,F              ,African-American,Male  ,4           ,3             ,1
2720 ,41 ,0             ,M              ,Other           ,Male  ,1           ,113           ,1
1056 ,47 ,1             ,F              ,Other           ,Male  ,2           ,2             ,1
10346,31 ,1             ,M              ,African-American,Male  ,9           ,27            ,0
1349 ,43 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
7294 ,41 ,1             ,F              ,Other           ,Male  ,31          ,242           ,0
10185,28 ,0             ,M              ,African-American,Male  ,0           ,5             ,1
9921 ,27 ,0             ,M              ,African-American,Male  ,1           ,0             ,1
608  ,25 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
1145 ,22 ,1             ,F              ,African-American,Male  ,2           ,1             ,1
7216 ,32 ,1             ,F              ,African-American,Male  ,7           ,0             ,0
1642 ,29 ,0             ,M              ,Other           ,Male  ,1           ,0             ,1
563  ,50 ,1             ,M              ,Other           ,Female,1           ,0             ,1
9191 ,52 ,1             ,F              ,African-American,Male  ,2           ,33            ,0
841  ,23 ,0             ,F              ,Other           ,Male  ,2           ,0             ,1
356  ,25 ,0             ,F              ,Other           ,Male  ,4           ,1             ,1
7607 ,23 ,0             ,F              ,African-American,Female,1           ,0             ,1
5449 ,32 ,0             ,F              ,Other           ,Male  ,1           ,1             ,1
8685 ,41 ,0             ,F              ,African-American,Male  ,19          ,220           ,0
3116 ,23 ,1             ,F              ,African-American,Male  ,1           ,15            ,0
4784 ,40 ,0             ,F              ,African-American,Male  ,15          ,54            ,0
6721 ,37 ,0             ,M              ,African-American,Female,0           ,0             ,1
10889,56 ,0             ,F              ,African-American,Male  ,4           ,16            ,1
3476 ,28 ,1             ,M              ,African-American,Male  ,6           ,1             ,0
1408 ,28 ,1             ,M              ,African-American,Male  ,10          ,1             ,1
4061 ,52 ,0             ,M              ,Other           ,Female,0           ,0             ,1
7796 ,30 ,1             ,F              ,African-American,Male  ,2           ,0             ,0
3309 ,26 ,1             ,F              ,Other           ,Male  ,5           ,1             ,1
3641 ,26 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
4996 ,27 ,0             ,F              ,Other           ,Male  ,1           ,1             ,1
10452,44 ,0             ,F              ,African-American,Female,0           ,0             ,1
10432,45 ,0             ,F              ,African-American,Male  ,6           ,1             ,1
1966 ,21 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
10225,34 ,0             ,F              ,Other           ,Male  ,0           ,2             ,1
55   ,29 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
9561 ,28 ,1             ,F              ,Other           ,Male  ,3           ,37            ,1
10484,29 ,0             ,M              ,Other           ,Male  ,2           ,1             ,1
7631 ,22 ,1             ,F              ,Other           ,Male  ,0           ,0             ,1
10217,31 ,1             ,F              ,African-American,Male  ,9           ,0             ,0
8218 ,24 ,0             ,M              ,Other           ,Female,0           ,0             ,1
9685 ,22 ,1             ,M              ,African-American,Male  ,0           ,0             ,1
8762 ,43 ,0             ,F              ,Other           ,Male  ,1           ,1             ,1
5458 ,24 ,1             ,F              ,African-American,Male  ,1           ,1             ,1
4748 ,30 ,0             ,M              ,African-American,Female,0           ,-1            ,1
10909,29 ,1             ,F              ,Other           ,Male  ,14          ,0             ,0
8294 ,56 ,0             ,M              ,Other           ,Female,0           ,0             ,1
9530 ,49 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
5138 ,21 ,1             ,F              ,Other           ,Male  ,0           ,0             ,1
1396 ,32 ,1             ,F              ,African-American,Male  ,19          ,14            ,0
5154 ,36 ,1             ,M              ,African-American,Male  ,25          ,0             ,0
2405 ,24 ,0             ,F              ,African-American,Female,0           ,0             ,1
10062,27 ,1             ,F              ,Other           ,Female,2           ,0             ,1
5014 ,27 ,1             ,F              ,African-American,Male  ,6           ,34            ,0
1006 ,35 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
887  ,30 ,1             ,F              ,African-American,Male  ,5           ,1             ,1
4675 ,49 ,1             ,F              ,Other           ,Male  ,7           ,12            ,1
3657 ,26 ,0             ,M              ,African-American,Female,0           ,1             ,1
3980 ,34 ,1             ,M              ,African-American,Male  ,0           ,29            ,1
7164 ,58 ,0             ,F              ,Other           ,Male  ,1           ,1             ,1
282  ,45 ,1             ,M              ,Other           ,Male  ,8           ,71            ,1
5216 ,41 ,1             ,M              ,African-American,Male  ,4           ,-1            ,1
10977,35 ,1             ,M              ,African-American,Male  ,8           ,62            ,1
10348,24 ,0             ,M              ,African-American,Male  ,1           ,0             ,1
301  ,44 ,0             ,M              ,Other           ,Male  ,4           ,1             ,1
3710 ,19 ,1             ,F              ,African-American,Male  ,1           ,1             ,1
2678 ,21 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
9106 ,32 ,1             ,F              ,Other           ,Female,2           ,0             ,1
3281 ,30 ,1             ,F              ,Other           ,Male  ,3           ,12            ,1
9201 ,24 ,1             ,F              ,African-American,Male  ,1           ,0             ,1
10256,28 ,0             ,F              ,Other           ,Male  ,4           ,190           ,1
10863,29 ,1             ,F              ,African-American,Male  ,2           ,1             ,1
9577 ,47 ,0             ,M              ,Other           ,Male  ,3           ,3             ,1
4897 ,28 ,1             ,F              ,Other           ,Male  ,9           ,8             ,0
9951 ,26 ,0             ,F              ,Other           ,Male  ,2           ,3             ,1
7196 ,53 ,0             ,F              ,African-American,Male  ,6           ,0             ,1
3543 ,39 ,1             ,F              ,Other           ,Female,4           ,1             ,1
4647 ,21 ,0             ,M              ,Other           ,Male  ,1           ,0             ,1
8884 ,39 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
2536 ,57 ,0             ,M              ,African-American,Male  ,27          ,9             ,0
8225 ,62 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
10665,60 ,1             ,F              ,African-American,Male  ,13          ,2             ,1
3687 ,45 ,1             ,F              ,African-American,Male  ,13          ,0             ,1
3933 ,33 ,1             ,F              ,African-American,Female,5           ,0             ,0
8636 ,30 ,1             ,F              ,African-American,Male  ,6           ,0             ,1
9159 ,50 ,1             ,F              ,Other           ,Male  ,2           ,9             ,1
8223 ,31 ,0             ,F              ,Other           ,Female,14          ,0             ,0
5617 ,58 ,0             ,M              ,Other           ,Male  ,1           ,0             ,1
4661 ,43 ,0             ,M              ,African-American,Male  ,8           ,1             ,1
1458 ,22 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
495  ,36 ,0             ,F              ,African-American,Female,0           ,12            ,1
1300 ,21 ,0             ,M              ,Other           ,Female,0           ,0             ,1
4346 ,55 ,1             ,F              ,Other           ,Male  ,1           ,33            ,1
8265 ,44 ,0             ,F              ,African-American,Male  ,0           ,2             ,1
7625 ,32 ,1             ,M              ,Other           ,Male  ,0           ,0             ,1
9148 ,30 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
6302 ,24 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
9516 ,32 ,0             ,F              ,African-American,Male  ,7           ,5             ,1
10120,29 ,1             ,M              ,Other           ,Female,2           ,-1            ,1
3349 ,36 ,1             ,M              ,African-American,Male  ,0           ,1             ,1
6439 ,25 ,1             ,F              ,African-American,Male  ,5           ,54            ,0
5762 ,33 ,1             ,M              ,Other           ,Female,0           ,0             ,1
9081 ,20 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
6699 ,35 ,0             ,M              ,Other           ,Female,4           ,1             ,1
8358 ,21 ,0             ,F              ,African-American,Female,0           ,0             ,1
5163 ,26 ,1             ,F              ,Other           ,Male  ,9           ,0             ,1
5158 ,49 ,0             ,M              ,African-American,Male  ,1           ,1             ,1
7690 ,46 ,1             ,F              ,Other           ,Male  ,14          ,0             ,1
9458 ,23 ,1             ,M              ,African-American,Male  ,0           ,1             ,1
1244 ,47 ,0             ,F              ,Other           ,Male  ,2           ,0             ,1
4827 ,56 ,0             ,F              ,African-American,Female,1           ,1             ,1
8135 ,50 ,1             ,F              ,Other           ,Female,1           ,1             ,1
1629 ,27 ,0             ,F              ,African-American,Male  ,2           ,20            ,1
6794 ,25 ,1             ,F              ,Other           ,Male  ,13          ,5             ,1
6830 ,22 ,1             ,F              ,Other           ,Female,3           ,2             ,0
5403 ,32 ,1             ,F              ,African-American,Male  ,8           ,2             ,0
3754 ,22 ,1             ,F              ,African-American,Male  ,1           ,1             ,1
5552 ,51 ,1             ,F              ,African-American,Male  ,22          ,34            ,0
10806,22 ,1             ,F              ,African-American,Male  ,8           ,39            ,1
6401 ,53 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
7496 ,24 ,0             ,F              ,Other           ,Male  ,0           ,2             ,0
7237 ,40 ,0             ,M              ,Other           ,Male  ,3           ,40            ,1
9348 ,21 ,0             ,F              ,Other           ,Male  ,2           ,0             ,1
7591 ,20 ,1             ,F              ,African-American,Male  ,4           ,1             ,0
4480 ,25 ,1             ,F              ,Other           ,Male  ,9           ,87            ,0
4603 ,39 ,0             ,F              ,African-American,Male  ,2           ,0             ,1
8922 ,63 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
9939 ,50 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
2411 ,39 ,0             ,F              ,African-American,Female,6           ,0             ,1
10719,33 ,0             ,M              ,African-American,Male  ,2           ,1             ,1
15   ,23 ,1             ,M              ,African-American,Male  ,3           ,4             ,1
6534 ,33 ,0             ,F              ,African-American,Female,5           ,186           ,1
2228 ,19 ,1             ,F              ,African-American,Male  ,3           ,30            ,1
4141 ,37 ,0             ,F              ,African-American,Male  ,5           ,0             ,1
3174 ,21 ,1             ,F              ,Other           ,Male  ,0           ,6             ,1
3556 ,33 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
8984 ,34 ,0             ,M              ,Other           ,Male  ,0           ,76            ,1
8050 ,31 ,0             ,F              ,Other           ,Female,1           ,0             ,1
7032 ,58 ,0             ,M              ,Other           ,Female,1           ,-1            ,1
598  ,28 ,0             ,F              ,African-American,Male  ,5           ,51            ,0
3697 ,54 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
3112 ,35 ,0             ,F              ,African-American,Male  ,0           ,1             ,0
5514 ,54 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
9781 ,22 ,1             ,F              ,Other           ,Male  ,6           ,0             ,0
8856 ,26 ,0             ,M              ,Other           ,Male  ,1           ,1             ,1
3802 ,47 ,1             ,M              ,African-American,Male  ,0           ,0             ,1
1854 ,38 ,0             ,F              ,African-American,Male  ,3           ,1             ,1
9353 ,31 ,1             ,F              ,Other           ,Male  ,1           ,36            ,1
4081 ,27 ,0             ,F              ,Other           ,Male  ,1           ,1             ,1
6737 ,24 ,1             ,M              ,African-American,Male  ,2           ,0             ,1
2608 ,26 ,1             ,M              ,African-American,Male  ,0           ,0             ,1
5263 ,19 ,1             ,F              ,African-American,Male  ,3           ,0             ,0
2915 ,38 ,1             ,F              ,Other           ,Male  ,2           ,47            ,1
6402 ,31 ,0             ,M              ,African-American,Female,2           ,2             ,1
2515 ,28 ,0             ,F              ,African-American,Male  ,11          ,26            ,0
2131 ,36 ,0             ,F              ,African-American,Male  ,0           ,1             ,0
2891 ,21 ,1             ,M              ,Other           ,Male  ,1           ,0             ,1
2962 ,40 ,0             ,M              ,African-American,Male  ,1           ,1             ,1
3794 ,46 ,1             ,F              ,African-American,Male  ,0           ,0             ,1
6359 ,54 ,1             ,F              ,African-American,Male  ,3           ,2             ,1
867  ,27 ,1             ,M              ,African-American,Male  ,5           ,64            ,1
8789 ,24 ,0             ,M              ,Other           ,Male  ,2           ,0             ,1
1870 ,20 ,0             ,F              ,African-American,Male  ,0           ,-1            ,1
8683 ,30 ,0             ,F              ,Other           ,Male  ,2           ,0             ,1
6672 ,22 ,1             ,F              ,African-American,Male  ,1           ,0             ,0
10708,26 ,0             ,F              ,Other           ,Male  ,1           ,5             ,1
5921 ,52 ,1             ,M              ,Other           ,Male  ,4           ,1             ,1
9476 ,30 ,0             ,F              ,African-American,Female,3           ,0             ,1
3987 ,25 ,1             ,F              ,Other           ,Male  ,2           ,0             ,1
2484 ,50 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
3673 ,33 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
2465 ,37 ,0             ,F              ,African-American,Male  ,2           ,0             ,1
9617 ,27 ,1             ,F              ,African-American,Male  ,4           ,0             ,1
1043 ,31 ,0             ,F              ,African-American,Male  ,5           ,6             ,1
9170 ,52 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
1823 ,38 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
2027 ,32 ,1             ,F              ,African-American,Male  ,0           ,17            ,1
2418 ,46 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
9640 ,26 ,1             ,M              ,African-American,Male  ,27          ,10            ,0
2836 ,51 ,1             ,F              ,Other           ,Male  ,1           ,1             ,1
6238 ,44 ,0             ,F              ,Other           ,Male  ,2           ,1             ,1
5050 ,21 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
2163 ,34 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
657  ,24 ,1             ,F              ,African-American,Female,3           ,1             ,0
7076 ,27 ,1             ,M              ,Other           ,Female,0           ,-1            ,1
3270 ,21 ,1             ,F              ,African-American,Male  ,1           ,59            ,0
6332 ,51 ,1             ,F              ,African-American,Male  ,0           ,1             ,1
